name,band
Chris Batchelor,Loose Tubes
Chris Combs,Jacob Fred Jazz Odyssey
Chris Speed,Human Feel
Chris Tarry,The Hipstones
Chris Walden,Chris Walden Big Band
Chris Wood,Medeski Martin & Wood
"Christensen, Emilie Stoesen",Batagraf
"Christensen, Jon",1300
"Christensen, Jon",Masqualero
Christian Meaas Svendsen,Mopti
Christian Skår Winther,Monkey Plot
Christian Wallumrød,Generator X
Christian Wallumrød,Trondheim Jazz Orchestra
Christian Wallumrød,Jazzpunkensemblet
Christina Schilling,Technicoloured Roses
Christopher Barry Wood,Medeski Martin & Wood
Claire Daly,Kit McClure Band
"Clarke, Kim",Kit McClure Band
"Clarke, Stanley",SMV
"Clayber de Souza, Humberto",Sambrasa Trio
"Clayton, Gerald",The Clayton Brothers
"Clayton, Jeff",Clayton-Hamilton Jazz Orchestra
"Clayton, Jeff",The Clayton Brothers
"Clayton, John",Clayton-Hamilton Jazz Orchestra
Clifford Carter,Paul Peress
Clifford Carter,"Peress, Paul"
"Cobby, Steve",J*S*T*A*R*S
"Coleman, Valerie",Imani Winds
Colin Brooks,Dan Zanes and Friends
"Collins, Mel",The Alan Bown Set
"Coltrane, Ravi",The Blue Note 7
"Combs, Chris",Jacob Fred Jazz Odyssey
Connie Kay,Modern Jazz Quartet
"Copley, Jimmy",Manfred Mann's Earth Band
Counting Crows,Glider
"Creeggan, Andrew Burnett",The Brothers Creeggan
"Creeggan, James Raymond",The Brothers Creeggan
"Crosby, Gary",Gary Crosby's Nu Troop
"Crow, Rob","Creedle
thumb"
"Cullum, Jim",Jim Cullum Jazz Band
"Cunneen, Dan",Nightcaps
"Cunningham, Johnny",Nightnoise
Cuong Vu,Pat Metheny Group
Cutfather,Soulshock & Cutfather
DJ Logic,The John Popper Project
DJ Logic,The John Popper Project Featuring DJ Logic
Dag Arnesen,Bergen Big Band
"Dahl, Thomas T.",Dingobats
"Dahlen, Erland",Batagraf
"Dale, Eyolf",Albatrosh
"Dale, Olav",Bergen Big Band
"Dale, Olav",1300
"Daly, Claire",Kit McClure Band
Dan Cunneen,Nightcaps
Dan The Automator,Got a Girl
Dan The Automator,I Love You But I Must Drive Off This Cliff Now
Dan Zanes,Dan Zanes and Friends
Dan the Automator,Got a Girl
Dan the Automator,I Love You But I Must Drive Off This Cliff Now
Dani Klein,Vaya Con Dios
Daniel Herskedal,Magic Pocket
Darkwood Dub,Darkwood Dub
Daryl Hall,Hall & Oates
Dave Edge,The Real Thing
Dave Flippo,Flippomusic
David Aleksander Sjølie,Mopti
David Balakrishnan,Turtle Island Quartet
David Defries,Loose Tubes
David Gald,Funky Butt
David Immerglück,Glider
David King,The Bad Plus
David King,Happy Apple
David Laflamme,It's a Beautiful Day
David Weiss,The New Jazz Composers Octet
"Davis, Kenny",Timeline
"Davis, Steve",The New Jazz Composers Octet
"Davis, Xavier",The New Jazz Composers Octet
"Davy, Adam",Never the Bride
"Defries, David",Loose Tubes
Dennis Owens,Free Moral Agents
"Deschanel, Zooey",She & Him
"Deutsch, Josh",The Hipstones
"Diawara, Djeli Moussa",Kora Jazz Trio
"Dickerson, B. B.",Lee Oskar
"Dickerson, B. B.","Oskar, Lee"
Dieter Meier,Yello
"Dillon, Mike",Critters Buggin
"Dinkjian, Ara",Night Ark
"Dixon, Rob",The Dixon-Rhyne Project
Django Bates,Human Chain
Django Bates,Loose Tubes
Django Bates,StoRMChaser
Djeli Moussa Diawara,Kora Jazz Trio
"Donelian, Armen",Night Ark
"Doria, Joe",Skerik's Syncopated Taint Septet
Dougie Thomson,The Alan Bown Set
Dr. Martin Taylor MBE,Bill Wyman's Rhythm Kings
"Dukie, Joe",Fat Freddy’s Drop
Dumpstaphunk,Dumpstaphunk
"Dunning, Brian",Nightnoise
Dylan Howe,The Steve Howe Trio
"Eacott, John",Loose Tubes
"Eberson, Marte Maaland",Morning Has Occurred
"Ebersson, John",Jazzpunkensemblet
"Eckert, Jake",Dirty Dozen Brass Band
"Eckhardt, Kai",Garaj Mahal
Eddie Parker,Loose Tubes
"Edge, Dave",The Real Thing
"Edmonds, Paul",Loose Tubes
"Eger, Anton",Phronesis
"Eick, Mathias",Trondheim Jazz Orchestra
"Eick, Mathias",Jaga Jazzist
"Eick, Mathias",Music for a While
"Eick, Trude",Trondheim Jazz Orchestra
"Eilertsen, Mats",Dingobats
"Eilertsen, Mats",Trondheim Jazz Orchestra
"Einziger, Mike",Time-Lapse Consortium
Eirik Hegdal,Dingobats
Eirik Hegdal,Trondheim Jazz Orchestra
Eivin One Pedersen,Extended Noise
Eivind Lønning,Motif
Eivind Lønning,Trondheim Jazz Orchestra
